itemcode,title,longtitle,brandcode,brand,groupcode,group,statusgroupcode,statusgroup,price,chargeprice,totalprice,suggestprice,barcode,stockfree,backorder,categoryid1,categoryname1,categoryid2,categoryname2,icecatproductid,productimage,warrantyinfo
US-48-500W,Ubiquiti Networks UniFi US-48-500W Managed network switch Gigabit Ethernet (10/100/1000) Power over Ethernet (PoE) 1U Zilver netwerk-switch,Ubiquiti Managed Gigabit Ethernet PoE 48p 500W Switch,Z1,Ubiquiti,C5,Netwerk,10009,New,579.93475,0,579.93475,997.5,810354023132,0,0,16,Netwerk,258,Netwerkswitches,24779257,https://productimages.nl/media/image/low/45424cba4e5670f847a41f1c2be16fcdf4413e8e7e95e011ccac4b1883775e72.jpg,1 jaar via Complies
US-8,Ubiquiti Networks UniFi Switch 8 Managed Gigabit Ethernet (10/100/1000) Power over Ethernet (PoE) Grijs,Ubiquiti Networks UniFi Switch8 Managed Gigabit Ethernet PoE,Z1,Ubiquiti,C5,Netwerk,10009,New,70.2125,0,70.2125,114.5,810354026171,0,0,16,Netwerk,258,Netwerkswitches,33699340,https://productimages.nl/media/image/low/457a04431902d8bc170a79427cbcdc1f86f766bffd9275a496022ef4455c1288.jpg,1 jaar via Complies
US-8-150W,Ubiquiti Networks UniFi US-8-150W Managed network switch Gigabit Ethernet (10/100/1000) Power over Ethernet (PoE) Wit netwerk-switch,"Ubiquiti Unifi Switch (8-poorts, 150W PoE+)",Z1,Ubiquiti,C5,Netwerk,10009,New,145.266075,0,145.266075,232.95,810354024467,0,0,16,Netwerk,258,Netwerkswitches,30683690,https://productimages.nl/media/image/low/c6b66c44f20ddb58ca483e3fe9506c187c77a5dcad48b944c664ad0f94df19a1.jpg,1 jaar via Complies
US-8-60W,Ubiquiti Networks UniFi Switch 8 Managed network switch Gigabit Ethernet (10/100/1000) Power over Ethernet (PoE) Grijs,"Ubiquiti Unifi Switch (8-poorts, 60W PoE+)",Z1,Ubiquiti,C5,Netwerk,10009,New,84.6855,0,84.6855,127.5,810354026188,0,0,16,Netwerk,258,Netwerkswitches,33699344,https://productimages.nl/media/image/low/661033df5fc181c9d1d4d4da2cbf463954aeae060552870049dc709c10777545.jpg,1 jaar via Fabrikant
USG,Ubiquiti Networks USG gateway/controller,Ubiquiti Network USG gateway/controller,Z1,Ubiquiti,C5,Netwerk,10009,New,84.5625,0,84.5625,126.95,810354022807,4,0,16,Netwerk,833,Gateways/controllers,23211346,https://productimages.nl/media/image/low/f3e5835ca501c5d9008c32528e8c210cb4fd84f4d26f6325404e24ac57ab5385.jpg,1 jaar via Complies
USG-PRO-4,"Ubiquiti Networks USG-PRO-4 10,100,1000Mbit/s gateway/controller","Ubiquiti Netw USG-PRO-4 10,100,1000Mbit/s Gateway Controller",Z1,Ubiquiti,C5,Netwerk,10009,New,201.134725,0,201.134725,302.5,810354022821,0,0,16,Netwerk,833,Gateways/controllers,30163132,https://productimages.nl/media/image/low/61bb9be41a93a6739d129299ac64ff6ce05cc12c4b151165554471a2adcd87f8.jpg,1 jaar via Complies
USW-AGGREGATION,Ubiquiti Networks USW-AGGREGATION netwerk-switch,Ubiquiti UniFi Switch Aggregation,Z1,Ubiquiti,C5,Netwerk,10009,New,192.93575,0,192.93575,294.95,810010074331,0,1,16,Netwerk,258,Netwerkswitches,87836321,https://productimages.nl/media/image/low/856fad654556ed50047a6f04be19451f8e23f9c76db93938bff6192f11a52900.jpg,1 jaar via Complies
USW-FLEX-MINI,Ubiquiti Networks UniFi USW Flex Mini Managed Gigabit Ethernet (10/100/1000) Wit Power over Ethernet (PoE),Ubiquiti UniFi Switch USW-Flex-Mini,Z1,Ubiquiti,C5,Netwerk,10009,New,22.630975,0,22.630975,33.95,817882029698,2,10,16,Netwerk,258,Netwerkswitches,77966853,https://productimages.nl/media/image/low/772e950e94862e37580e65224247408b2ecd829e07a879b93085b092bba02e1d.jpg,1 jaar via Complies
USW-PRO-24-POE,Ubiquiti Networks UniFi Pro 24-Port PoE Managed L2/L3 Gigabi,Ubiquiti Networks UniFi Pro 24-Port PoE Managed L2/L3 Gigabi,Z1,Ubiquiti,C5,Netwerk,10009,New,496.756,0,496.756,806.95,817882027649,0,0,16,Netwerk,258,Netwerkswitches,75809175,https://productimages.nl/media/image/low/047fc16cee84f01ad609f5bd439e942a4d84424b137ae20a7ccecfce85d44c82.jpg,1 jaar via Complies
UTL-1417,Natec Laptopbag Genesis UGO 14inch,UGO notebook bag KATLA BH100 14.0inch Black,I1,OEM,C7,Accessoires,10009,New,4.705775,0,4.705775,24.5,5901969417944,61,0,18,Accessoires,1285,Notebooktassen,0,https://productimages.nl/media/image/low/18701cef4c5c6115aa5e97c08487a0863101eab083ee2753368a066cd2994802.jpg,2 jaren via Complies
UTP-0008-0.5RE,Kabel Cat5e UTP - 0.5m - Rood,Kabel Cat5e UTP - 0.5m - Rood,I1,OEM,I1,Kabels,10009,New,0.25625,0,0.25625,11.95,5412810110063,2,0,9,Kabels en adapters,883,Netwerkkabels,14802792,https://productimages.nl/media/image/low/076224d56c7e173e16733a8d2858006b4657478daca18000f920c015f1e2430a.jpg,2 jaar via Complies
UTS2-0160B0R11,"Goodram UTS2 USB flash drive 16 GB USB Type-A 2.0 Blauw, Zilver",Storage Goodram Flashdrive 16GB USB 2.0 Blue,A21,Goodram,A2,Flashdrive,10009,New,1.99875,0.5,2.49875,3.5,5908267920770,461,0,8,Opslagmedia,1554,USB-sticks,57979955,https://productimages.nl/media/image/low/06e84e2a313bdf010d328fc651a549f8cbe76951a7706d712a79648ebc648dcb.jpg,5 jaren via Complies
UTS3-0640R0R11,Storage Goodram Flashdrive 'Twister' 64GB USB3.0 Black,Storage Goodram Flashdrive 'Twister' 64GB USB3.0 Black,A21,Goodram,A2,Flashdrive,10009,New,5.412,0.5,5.912,8.5,5908267920855,0,0,8,Opslagmedia,1554,USB-sticks,33321884,https://productimages.nl/media/image/low/5d3647ed33b58308380a2159e5f41bae0bfa998d4a14bd95d0ffa3f6d7950647.jpg,5 jaren via Complies
UVC-G3-DOME,Ubiquiti Networks UVC-G3-DOME IP security camera Binnen & buiten Rond Wit bewakingscamera,Ubiquiti UVC-G3-DOME IP Security Camera Binnen & buiten Wit,Z1,Ubiquiti,C5,Netwerk,10009,New,99.35325,0,99.35325,178.95,810354024313,0,0,20,Domotica,1557,Bewakingscamera's,30683693,https://productimages.nl/media/image/low/6acdcb5118c04bcb35e58f3f8f74214e561c7799eb725280f3c9d44592c3b3d9.jpg,1 jaar via Complies
UVC-G3-DOME-3,Ubiquiti Networks UniFi G3 Dome IP-beveiligingscamera Binnen & buiten 1920 x 1080 Pixels Plafond/muur,Ubiquiti UVC-G3-DOME IP Security Camera Binnen &buiten 3pack,Z1,Ubiquiti,C5,Netwerk,10009,New,290.47475,0,290.47475,440.5,817882028134,0,0,20,Domotica,1557,Bewakingscamera's,0,https://productimages.nl/media/image/low/a1ec07654cb4ccb8e0b7184a9bda63008b043786c9ccd935544003906b031f79.jpg,1 jaar via Complies
UVC-G3-LED,Ubiquiti Networks UVC-G3-LED beveiligingscamera steunen & behuizingen,Ubiquiti Networks IP security camera Behuizing,Z1,Ubiquiti,C5,Netwerk,10009,New,55.8625,0,55.8625,69.5,810354023361,1,0,20,Domotica,1848,Bewakingcamera's accessoires,30683695,https://productimages.nl/media/image/low/230a9976695edabc124365a68debc23538c8f154edc9cf3824b2d769b287124d.jpg,1 jaar via Complies
UVC-G3-PRO,Ubiquiti Networks G3-PRO IP-beveiligingscamera Binnen Rond Wit 1920 x 1080 Pixels,Ubiquiti UniFi Video Camera G3-PRO,Z1,Ubiquiti,C5,Netwerk,10009,New,202.95,0,202.95,314.95,817882021425,0,0,20,Domotica,1557,Bewakingscamera's,40000192,https://productimages.nl/media/image/low/09063e4a293b34ffc552bfb610b277979b16cb834845061280c5f6f0156fa940.jpg,1 jaar via Complies
UVC-G4-PRO,Ubiquiti Networks UVC-G4-PRO bewakingscamera IP-beveiligingscamera Binnen & buiten Rond 3840 x 2160 Pixels Plafond/muur/paal,Ubiquiti UniFi Video Camera G4-PRO,Z1,Ubiquiti,C5,Netwerk,10009,New,324.13575,0,324.13575,581.95,817882026260,0,0,20,Domotica,1557,Bewakingscamera's,69274144,https://productimages.nl/media/image/low/96b5b67718b27b759513893abc6ec5ee700735395221c5f819ace1eb65807d67.jpg,1 jaar via Complies
UX433FN-A5110T-RFG,Asus Zenbook 14inch F-HD / i5-8265U / 8GB / 512GB / W10H / REFURB,Asus Zenbook 14.0/ F-HD / i5-8265U / 8GB / 512GB PCIE /W10,P8,Asus,C1,Notebooks,10003,Refurbished Gold,940.4375,2.7,943.1375,1714.95,,1,0,12,Notebooks en tablets,151,Notebooks,0,https://productimages.nl/media/image/low/469fadf55cd8c62c4031d64493abbb109e4d869e544393ac189ab0e12c055e52.jpg,"1 jaar via Complies, (niet uitbreidbaar)"
V11T59C1,"Gecko Easy-Click 2.0 26,4 cm (10.4"") Folioblad Zwart","Gecko Easy-Click 2.0 Tablet case (10.4"") for Samsung Tab A7",I1,OEM,C7,Accessoires,10009,New,13.2758,0,13.2758,39.95,8720195091165,5,0,18,Accessoires,2774,Tabletbehuizingen,81540323,https://productimages.nl/media/image/low/18deaba260be255f7e6b438c7ef108da15b08c9ccffc52494e2b3e22e30960d8.jpg,1 jaar via Complies
V241EAK-BA030M-8-W10,Asus AIO V241EAK 23.6  F-HD / i3-1115G4 / 16GB / 256GB / W10P,Asus AIO V241EAK 23.6  F-HD /  i3-1115G4  /16GB / 256GB W10P,P8,Asus,J9,Systemen,10009,New,419.97325,2.7,422.67325,1103.95,,1,0,2,PC en server,2282,All-in-One PC's/workstations,0,https://productimages.nl/media/image/low/33a4e5276e9e06e788f2ea334719acd9e9e7d17dc4cdafa0288b587195d367b4.jpg,1 jaar fabrieksgarantie + 1 jaar extra via Complies
